wojewodztwo,powiat_miasto,teryt,stan_rekordu_na,liczba_na_10_tys_mieszkancow,liczba_osob_objetych_kwarantanna,liczba_ozdrowiencow,liczba_pozostalych_testow,liczba_przypadkow,liczba_testow_z_wynikiem_negatywnym,liczba_testow_z_wynikiem_pozytywnym,liczba_wykonanych_testow,liczba_zlecen_poz,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych
małopolskie,Nowy Sącz,t1262,2021-03-23 00:00:00,3.7,347,24,0,31,86,32,118,73,0,0,0
opolskie,nyski,t1607,2021-03-23 00:00:00,3.62,897,62,4,49,177,55,236,192,0,0,0
wielkopolskie,obornicki,t3016,2021-03-23 00:00:00,12.87,613,17,5,77,50,79,134,134,2,0,2
dolnośląskie,oławski,t0215,2021-03-23 00:00:00,3.64,1124,17,1,28,74,37,112,134,0,0,0
warmińsko-mazurskie,olecki,t2813,2021-03-23 00:00:00,1.76,160,5,0,6,27,7,34,30,1,0,1
opolskie,oleski,t1608,2021-03-23 00:00:00,2.34,227,7,1,15,72,15,88,57,0,0,0
dolnośląskie,oleśnicki,t0214,2021-03-23 00:00:00,4.47,967,70,1,48,161,89,251,121,1,1,0
małopolskie,olkuski,t1212,2021-03-23 00:00:00,4.15,971,72,3,46,70,59,132,173,0,0,0
warmińsko-mazurskie,Olsztyn,t2862,2021-03-23 00:00:00,9.66,2226,179,3,166,449,182,634,453,3,0,3
warmińsko-mazurskie,olsztyński,t2814,2021-03-23 00:00:00,9.91,1777,79,3,126,256,136,395,278,3,1,2
świętokrzyskie,opatowski,t2606,2021-03-23 00:00:00,4.24,374,7,1,22,49,24,74,59,1,0,1
łódzkie,opoczyński,t1007,2021-03-23 00:00:00,2.9,456,8,5,22,82,28,115,52,0,0,0
opolskie,Opole,t1661,2021-03-23 00:00:00,5.47,1376,77,4,70,160,78,242,186,1,0,1
lubelskie,opolski,t0612,2021-03-23 00:00:00,2.37,346,9,0,14,46,15,61,46,0,0,0
opolskie,opolski,t1609,2021-03-23 00:00:00,1.7,1046,52,1,21,166,24,191,148,2,0,2
warmińsko-mazurskie,ostródzki,t2815,2021-03-23 00:00:00,7.8,1390,77,6,81,181,89,276,203,1,0,1
mazowieckie,ostrołęcki,t1415,2021-03-23 00:00:00,3.72,1056,26,3,33,51,36,90,118,4,0,4
mazowieckie,Ostrołęka,t1461,2021-03-23 00:00:00,7.9,534,11,5,41,38,47,90,142,1,0,1
świętokrzyskie,ostrowiecki,t2607,2021-03-23 00:00:00,2.12,655,32,16,23,157,28,201,152,2,0,2
mazowieckie,ostrowski,t1416,2021-03-23 00:00:00,0.69,565,16,1,5,49,6,56,63,0,0,0
wielkopolskie,ostrowski,t3017,2021-03-23 00:00:00,2.66,1214,64,0,43,96,50,146,292,0,0,0
wielkopolskie,ostrzeszowski,t3018,2021-03-23 00:00:00,0.9,292,11,0,5,24,7,31,27,0,0,0
małopolskie,oświęcimski,t1213,2021-03-23 00:00:00,7.84,1662,86,5,120,109,132,246,263,0,0,0
mazowieckie,otwocki,t1417,2021-03-23 00:00:00,8.03,1690,93,5,100,181,107,293,264,1,0,1
łódzkie,pabianicki,t1008,2021-03-23 00:00:00,3.44,1446,76,4,41,152,51,207,301,0,0,0
łódzkie,pajęczański,t1009,2021-03-23 00:00:00,2.94,324,7,1,15,86,30,117,55,0,0,0
lubelskie,parczewski,t0613,2021-03-23 00:00:00,2.6,270,1,0,9,53,9,62,39,0,0,0
mazowieckie,piaseczyński,t1418,2021-03-23 00:00:00,5.07,3769,186,12,96,273,107,392,392,1,0,1
śląskie,Piekary Śląskie,t2471,2021-03-23 00:00:00,2.55,740,23,2,14,77,15,94,128,0,0,0
wielkopolskie,pilski,t3019,2021-03-23 00:00:00,1.62,851,42,1,22,117,24,142,217,0,0,0
świętokrzyskie,pińczowski,t2608,2021-03-23 00:00:00,4.91,440,21,4,19,50,20,74,44,0,0,0
łódzkie,Piotrków Trybunalski,t1062,2021-03-23 00:00:00,6.46,708,38,0,47,108,48,156,146,0,0,0
