"";"teryt";"powiaty";"Ludność..Population";"ludnosc.na.1km2"
"371";"3211";"   policki";80652;121
"372";"3212";"   pyrzycki";39336;54
"373";"3213";"   sławieński";56134;54
"374";"3214";"   stargardzki";120186;79
"375";"3215";"   szczecinecki";77630;44
"376";"3216";"   świdwiński";46724;43
"377";"3217";"   wałecki";53039;37
"378";"3261";"   Koszalin";107048;1089
"379";"3262";"   Szczecin";401907;1337
"380";"3263";"   Świnoujście";40888;202
